# perf-gui stage timings — release profile
# reps = 3, tol = witness, budget δ chosen by scene::fit_delta
# die: landing = Landed
# die: landing = Landed
# die: landing = Landed

## die — 84 nodes, δ = 1.000e-4 m, 348 triangles
| stage | median ms | ± % |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.01 | 29.5 |
| land: gather + checks registry + A5 badge | 0.19 | 10.0 |
|   of which: product_recorded (the gather) | 0.20 | 9.7 |
|   of which: run_checks_on (advisory registry) | 0.01 | 41.0 |
| fit_delta: probe tessellation (open only) | 0.08 | 12.9 |
| INDEX build total (tessellate + BVH + id map) | 0.10 | 3.8 |
|   of which: mesh::tessellate (whole model) | 0.06 | 4.8 |
| scene: scene_focused (GPU vertex assembly) | 0.00 | 73.4 |
| == EDIT→PICTURE TOTAL == | 0.52 | 0.0 |
# die_tool: landing = Landed
# die_tool: landing = Landed
# die_tool: landing = Landed

## die_tool — 9 nodes, δ = 1.000e-4 m, 25236 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 1.39 | 0.8 |
| eval: edit WITH prior (memo) | 1.18 | 1.6 |
| eval: edit WITHOUT prior | 1.30 | 1.2 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.02 | 6.4 |
| land: gather + checks registry + A5 badge | 0.22 | 6.7 |
|   of which: product_recorded (the gather) | 0.20 | 11.9 |
|   of which: run_checks_on (advisory registry) | 0.01 | 44.7 |
| fit_delta: probe tessellation (open only) | 1.56 | 2.1 |
| INDEX build total (tessellate + BVH + id map) | 18.53 | 1.4 |
|   of which: mesh::tessellate (whole model) | 10.82 | 1.0 |
| scene: scene_focused (GPU vertex assembly) | 0.40 | 35.3 |
| == EDIT→PICTURE TOTAL == | 20.35 | 0.0 |
# face_sketch: landing = Landed
# face_sketch: landing = Landed
# face_sketch: landing = Landed

## face_sketch — 6 nodes, δ = 1.000e-4 m, 12 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.08 | 52.9 |
| eval: edit WITH prior (memo) | 0.08 | 6.2 |
| eval: edit WITHOUT prior | 0.07 | 17.4 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.01 | 44.0 |
| land: gather + checks registry + A5 badge | 0.04 | 4.2 |
|   of which: product_recorded (the gather) | 0.03 | 22.1 |
|   of which: run_checks_on (advisory registry) | 0.00 | 146.9 |
| fit_delta: probe tessellation (open only) | 0.01 | 54.8 |
| INDEX build total (tessellate + BVH + id map) | 0.02 | 23.2 |
|   of which: mesh::tessellate (whole model) | 0.01 | 4.9 |
| scene: scene_focused (GPU vertex assembly) | 0.00 | 176.3 |
| == EDIT→PICTURE TOTAL == | 0.15 | 0.0 |
# part_select: landing = Landed
# part_select: landing = Landed
# part_select: landing = Landed

## part_select — 12 nodes, δ = 1.000e-4 m, 32 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.68 | 6.4 |
| eval: edit WITH prior (memo) | 0.43 | 7.1 |
| eval: edit WITHOUT prior | 0.57 | 3.8 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.02 | 7.9 |
| land: gather + checks registry + A5 badge | 0.17 | 4.1 |
|   of which: product_recorded (the gather) | 0.17 | 7.6 |
|   of which: run_checks_on (advisory registry) | 0.01 | 62.9 |
| fit_delta: probe tessellation (open only) | 0.04 | 21.9 |
| INDEX build total (tessellate + BVH + id map) | 0.06 | 6.9 |
|   of which: mesh::tessellate (whole model) | 0.03 | 8.1 |
| scene: scene_focused (GPU vertex assembly) | 0.00 | 136.4 |
| == EDIT→PICTURE TOTAL == | 0.69 | 0.0 |

## loft_prism — SKIPPED (bump is not SetParam)
# die_composed: landing = Landed
# die_composed: landing = Landed
# die_composed: landing = Landed

## die_composed — 10 nodes, δ = 1.000e-4 m, 148404 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 1.07 | 5.7 |
| eval: edit WITH prior (memo) | 0.95 | 2.4 |
| eval: edit WITHOUT prior | 1.05 | 1.5 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.04 | 7.4 |
| land: gather + checks registry + A5 badge | 0.48 | 1.0 |
|   of which: product_recorded (the gather) | 0.41 | 3.6 |
|   of which: run_checks_on (advisory registry) | 0.02 | 39.9 |
| fit_delta: probe tessellation (open only) | 12.49 | 1.0 |
| INDEX build total (tessellate + BVH + id map) | 147.48 | 1.5 |
|   of which: mesh::tessellate (whole model) | 77.42 | 2.8 |
| scene: scene_focused (GPU vertex assembly) | 2.92 | 8.0 |
| == EDIT→PICTURE TOTAL == | 151.87 | 0.0 |
# die_composed_tour: landing = Landed
# die_composed_tour: landing = Landed
# die_composed_tour: landing = Landed

## die_composed_tour — 32 nodes, δ = 2.276e-4 m, 974526 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 19.75 | 2.5 |
| eval: edit WITH prior (memo) | 19.03 | 0.9 |
| eval: edit WITHOUT prior | 19.39 | 0.3 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.14 | 4.8 |
| land: gather + checks registry + A5 badge | 1.79 | 2.2 |
|   of which: product_recorded (the gather) | 1.63 | 2.5 |
|   of which: run_checks_on (advisory registry) | 0.07 | 18.1 |
| fit_delta: probe tessellation (open only) | 177.29 | 1.2 |
| INDEX build total (tessellate + BVH + id map) | 1020.84 | 2.8 |
|   of which: mesh::tessellate (whole model) | 473.93 | 0.4 |
| scene: scene_focused (GPU vertex assembly) | 52.78 | 8.6 |
| == EDIT→PICTURE TOTAL == | 1094.58 | 0.0 |
# plate_param: landing = Landed
# plate_param: landing = Landed
# plate_param: landing = Landed

## plate_param — 7 nodes, δ = 1.000e-4 m, 1308 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.77 | 26.0 |
| eval: edit WITH prior (memo) | 0.58 | 7.6 |
| eval: edit WITHOUT prior | 0.71 | 7.1 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.02 | 25.7 |
| land: gather + checks registry + A5 badge | 0.19 | 13.2 |
|   of which: product_recorded (the gather) | 0.17 | 15.5 |
|   of which: run_checks_on (advisory registry) | 0.01 | 78.2 |
| fit_delta: probe tessellation (open only) | 0.73 | 4.1 |
| INDEX build total (tessellate + BVH + id map) | 2.54 | 1.7 |
|   of which: mesh::tessellate (whole model) | 2.18 | 1.3 |
| scene: scene_focused (GPU vertex assembly) | 0.02 | 196.1 |
| == EDIT→PICTURE TOTAL == | 3.36 | 0.0 |
# kiss_carry: landing = Landed
# kiss_carry: landing = Landed
# kiss_carry: landing = Landed

## kiss_carry — 12 nodes, δ = 1.000e-4 m, 48 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.74 | 10.1 |
| eval: edit WITH prior (memo) | 0.47 | 6.9 |
| eval: edit WITHOUT prior | 0.79 | 8.2 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.03 | 6.6 |
| land: gather + checks registry + A5 badge | 0.19 | 11.0 |
|   of which: product_recorded (the gather) | 0.17 | 15.0 |
|   of which: run_checks_on (advisory registry) | 0.00 | 69.7 |
| fit_delta: probe tessellation (open only) | 0.04 | 30.6 |
| INDEX build total (tessellate + BVH + id map) | 0.08 | 11.5 |
|   of which: mesh::tessellate (whole model) | 0.05 | 25.7 |
| scene: scene_focused (GPU vertex assembly) | 0.00 | 94.6 |
| == EDIT→PICTURE TOTAL == | 0.77 | 0.0 |
# tube_ring: landing = Landed
# tube_ring: landing = Landed
# tube_ring: landing = Landed

## tube_ring — 2 nodes, δ = 1.658e-3 m, 1002528 triangles
| stage | median ms | ± % |
